證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2617,台航,2252695.0,65621650.0,29.8,29.8,28.9,29.0,-0.8,1422.0
2618,長榮航,194756756.0,6297053247.0,31.8,33.0,31.75,32.3,0.75,52142.0
2630,亞航,17803569.0,768954123.0,42.6,44.8,41.95,42.05,-0.35,10738.0
2633,台灣高鐵,5556011.0,181398415.0,32.85,32.85,32.5,32.6,-0.3,3351.0
2634,漢翔,20230574.0,1112090256.0,55.8,56.0,54.5,54.8,-1.2,11192.0
2636,台驊投控,1345789.0,103017547.0,77.6,77.7,76.0,76.4,-1.0,1353.0
2637,慧洋-KY,10822287.0,644649782.0,61.2,61.2,58.9,59.0,-2.3,7461.0
2642,宅配通,93819.0,4269254.0,45.8,45.8,45.25,45.25,-0.55,85.0
2645,長榮航太,1983402.0,213641033.0,109.0,109.5,106.5,107.0,-3.0,2032.0
2701,萬企,4013808.0,54508076.0,13.8,13.85,13.3,13.3,-0.8,1465.0
2702,華園,1510834.0,37569393.0,25.7,25.7,24.4,24.55,-1.0,1097.0
2704,國賓,4047389.0,182669463.0,46.75,46.75,44.7,45.0,-1.45,744.0
2705,六福,5999745.0,113208422.0,19.65,19.65,18.5,18.5,-1.05,2917.0
2706,第一店,3930817.0,65291431.0,17.05,17.05,16.3,16.35,-0.7,1830.0
2707,晶華,795275.0,227836859.0,289.0,289.0,284.0,285.5,-2.0,824.0
2712,遠雄來,709945.0,26586879.0,38.2,38.25,36.8,37.4,-0.8,591.0
2722,夏都,5172435.0,358362398.0,71.6,71.6,67.5,68.1,-2.7,3751.0
2723,美食-KY,1923707.0,300374041.0,160.0,161.5,154.0,154.0,-6.5,1605.0
2727,王品,1221199.0,397883306.0,329.0,330.0,323.5,323.5,-4.5,2736.0
2731,雄獅,3358307.0,617137216.0,186.5,187.5,180.0,181.5,-3.5,4510.0
2739,寒舍,2192109.0,162280006.0,73.2,76.2,71.1,73.1,-1.9,1978.0
2748,雲品,6398363.0,584082103.0,92.9,93.0,89.7,90.1,-3.7,5079.0
2753,八方雲集,401608.0,66914616.0,166.5,167.5,165.5,167.0,0.5,681.0
2801,彰銀,12515337.0,226613415.0,18.1,18.2,18.05,18.1,0.0,3146.0
2809,京城銀,1959495.0,69019085.0,35.35,35.35,35.1,35.3,-0.1,1388.0
2812,台中銀,5138713.0,75061103.0,14.65,14.65,14.5,14.6,-0.05,3107.0
2816,旺旺保,176760.0,3010143.0,17.0,17.15,16.95,16.95,-0.2,228.0
2820,華票,431227.0,6646748.0,15.4,15.5,15.3,15.45,0.05,265.0
2832,台產,119988.0,2682380.0,22.25,22.45,22.25,22.3,-0.05,124.0
2834,臺企銀,14076660.0,198014262.0,14.05,14.15,14.0,14.05,0.0,3389.0
2836,高雄銀,276197.0,3403523.0,12.3,12.4,12.3,12.35,-0.05,230.0
2836A,高雄銀甲特,44031.0,947066.0,21.5,21.7,21.5,21.7,0.2,14.0
2838,聯邦銀,703967.0,11487651.0,16.3,16.45,16.25,16.35,-0.05,520.0
2838A,聯邦銀甲特,75000.0,3916400.0,52.3,52.3,52.2,52.2,-0.1,37.0
2845,遠東銀,3691286.0,41672182.0,11.25,11.35,11.25,11.3,0.05,798.0
2849,安泰銀,54497.0,823644.0,15.1,15.15,15.1,15.15,0.0,28.0
2850,新產,139338.0,7259741.0,52.3,52.4,52.0,52.2,-0.2,170.0
2851,中再保,1935556.0,38180496.0,19.7,19.8,19.55,19.75,0.0,689.0
2852,第一保,52959.0,839661.0,15.85,15.9,15.85,15.85,-0.05,54.0
2855,統一證,1250294.0,21304853.0,16.95,17.2,16.8,17.05,0.1,655.0
2867,三商壽,7010393.0,36262264.0,5.16,5.2,5.12,5.17,-0.02,1468.0
2880,華南金,10456267.0,232729679.0,22.2,22.4,22.1,22.25,-0.05,5330.0
2881,富邦金,11890492.0,718911885.0,60.1,60.9,59.8,60.5,0.1,7500.0
2881A,富邦特,71266.0,4385420.0,61.7,61.7,61.4,61.7,0.0,48.0
2881B,富邦金乙特,6314.0,378102.0,59.8,60.0,59.8,59.9,0.1,16.0
2881C,富邦金丙特,17911.0,1034982.0,57.8,57.8,57.8,57.8,0.0,45.0
2882,國泰金,20794987.0,915157940.0,43.9,44.25,43.75,43.9,-0.15,8876.0
2882A,國泰特,17208.0,1023312.0,59.5,59.5,59.4,59.5,0.1,16.0
2882B,國泰金乙特,105510.0,6274524.0,59.5,59.6,59.4,59.6,0.0,60.0
2883,開發金,58764272.0,759702431.0,13.0,13.0,12.85,12.85,-0.15,16879.0
2883B,開發金乙特,4675475.0,33306941.0,7.12,7.13,7.11,7.13,0.01,325.0
2884,玉山金,14527073.0,374984121.0,25.7,26.0,25.65,25.75,-0.05,6881.0
2885,元大金,15728883.0,368047844.0,23.15,23.55,23.05,23.5,0.25,5417.0
2886,兆豐金,24802240.0,889229724.0,35.7,36.15,35.45,36.15,-0.05,9961.0
2887,台新金,12726216.0,233372057.0,18.3,18.5,18.2,18.35,0.0,5410.0
2887E,台新戊特,156789.0,7912100.0,50.5,50.6,50.3,50.4,-0.1,85.0
2887F,台新戊特二,6518.0,314426.0,48.3,48.3,48.25,48.25,-0.05,13.0
2887Z1,台新己特,28989.0,492266.0,17.0,17.0,17.0,17.0,0.05,46.0
2888,新光金,36394817.0,306417299.0,8.43,8.47,8.38,8.42,-0.03,6208.0
2888A,新光金甲特,21167.0,677374.0,32.0,32.05,32.0,32.0,-0.05,25.0
2888B,新光金乙特,68803.0,2201646.0,32.0,32.0,31.95,32.0,0.0,57.0
2889,國票金,2628155.0,32892039.0,12.55,12.6,12.45,12.55,-0.1,1391.0
2890,永豐金,23385774.0,401444523.0,17.1,17.2,17.0,17.1,-0.05,5425.0
2891,中信金,24686560.0,593935874.0,24.1,24.25,23.85,24.1,0.0,8045.0
2891B,中信金乙特,20515.0,1211743.0,59.1,59.1,59.0,59.1,0.0,29.0
2891C,中信金丙特,6439.0,380509.0,59.1,59.3,59.0,59.2,-0.1,20.0
2892,第一金,12624550.0,349715748.0,27.65,27.85,27.55,27.75,0.0,5833.0
2897,王道銀行,3294416.0,33595036.0,10.15,10.25,10.15,10.2,0.05,723.0
2897A,王道銀甲特,606098.0,6303380.0,10.4,10.4,10.4,10.4,0.0,89.0
2901,欣欣,199260.0,5480484.0,28.45,28.45,27.0,27.0,-1.45,278.0
2903,遠百,1399754.0,33882093.0,24.3,24.3,24.0,24.25,0.15,855.0
2904,匯僑,38293.0,770943.0,20.2,20.2,20.05,20.15,0.0,53.0
2905,三商,317547.0,4819161.0,15.2,15.3,15.1,15.2,0.0,207.0
2906,高林,769802.0,12715502.0,16.85,16.85,16.4,16.45,-0.4,385.0
2908,特力,257741.0,5392933.0,20.95,21.0,20.85,21.0,0.1,88.0
2910,統領,4000.0,119250.0,29.9,29.9,29.75,29.75,-0.15,4.0
2911,麗嬰房,104846.0,748869.0,7.16,7.16,7.12,7.13,-0.03,223.0
2912,統一超,1175532.0,328376134.0,279.0,280.5,278.0,280.0,-1.0,1694.0
2913,農林,5155585.0,113832695.0,22.35,22.35,21.9,22.0,-0.3,2175.0
2915,潤泰全,2480384.0,139075329.0,56.5,56.6,55.8,55.9,-0.6,1773.0
2923,鼎固-KY,33020.0,805288.0,24.5,24.5,23.95,24.25,-0.6,30.0
2929,淘帝-KY,794505.0,10142435.0,13.0,13.0,12.6,12.6,-0.45,427.0
2939,凱羿-KY,83000.0,2719750.0,32.8,33.25,32.5,33.15,-0.1,26.0
2945,三商家購,9100.0,384520.0,42.1,43.0,42.05,43.0,0.9,10.0
3002,歐格,409634.0,5313985.0,13.2,13.2,12.55,12.95,-0.15,204.0
